id_transaccion,fecha,producto,region,vendedor,unidades,precio_unitario,calificacion_cliente,estado,notas
1342,04/02/2024,N/A,Bogotá D.C.,Maria Ruiz,,378.32,2.4,activo,Pago en transferencia
1216,09/03/2024,['API REST'],cali,Maria Ruiz,40uds,643.15,5,Si,
1279,14/07/2023,Reporte Automatico,Manizales (Caldas),carlos.lopez,78,613.11,4,Activo,
1312,2024/04/09,App Web,Bogotá,Ana Garcia,38,680.47,6,Pendiente,
1236,22/03/2024,-,Medellín (Ant),pedro.martin@empresa.com,14,790.27,4,1,Descuento del 24% aplicado
1207,2024-02-27,Pipeline ETL,B/quilla,Pedro Martin,62,316.49,1,True,Descuento del 25% aplicado
1212,2024/02/05,PipelineETL,Bog,Pedro Martin,64,723.18 COP,1,ACTIVO,Contactar al 3115171371
1329,11/11/2023,PIPELINE ETL,Medellin,ANA GARCIA,49,526.91,2.4,Activo,Pago en efectivo
1251,2023/06/17,  App Web  ,Bogotá DC,Maria Ruiz,63,550.12,2.6,1,Contactar al 3154107997
1317,,Dashboard,Barranquilla,ANA GARCIA,21,581.2,2,False,
1024,08-20-2023,API REST,Medellín,Pedro Martin,77,342.19,5,Activo,
1269,01-15-2024,Dashboard,Medellín,Sin asignar,45,250.61,5,1,
1201,2024-01-23,  Dashboard  ,Medellín,Ana Garcia,4 unidades,601.6,10,Inactivo,Ref: FC-5055
TRX-0161,2024-04-13,Pipeline ETL,Medellin,ana.garcia@empresa.com,55,428.84,Regular,NO,URGENTE - revisar
1043,06-23-2023,App Web,Desconocida,LAURA TORRES,31,,3.1,ACTIVO,
1217,2023/06/15,  Reporte Automatico  ,Bogotá,Maria Ruiz,40,568.24,3.1,Activo,Contactar al 3132431398
1190,2023-11-11,APP WEB,CALI,,26,$430.12,2,ACTIVO,URGENTE - revisar
1259,05-21-2024,pipeline etl,manizales,Maria Ruiz,52,263.99,,NO,Contactar al 3155079038
1105,2024/02/05,reporte automatico,Bogota,carlos.lopez,53,755.81,1,Si,
1053,09/08/2023,Reporte Automatico,B/quilla,Ana Garcia,24,525.84,1.5,NO,Ref: ND-5747
1001,06-19-2024,Reporte Automatico,MANIZALES,Ana Garcia,65,702.96 COP,10,ACTIVO,URGENTE - revisar
1049,11/10/2023,Pipeline ETL,Cali,Carlos Lopez,59 unidades,$180.08,N/A,Pendiente,Pago en tarjeta
1080,2024/02/24,Pipeline ETL,Cali,Ana Garcia,43uds,725.38,1,0,
1205,08-27-2023,N/A,Bquilla,Ana Garcia,70,456.39,Regular,Activo,URGENTE - revisar
1034,2023/07/20,api rest, ,Laura Torres,34,580.05,Malo,Inactivo,
1263,2023-08-28,Reporte Automatico,Medellin,Laura Torres,62,"559,99",2,ACTIVO,Contactar al 3178241502
1091,07/08/2023,App Web,manizales,Carlos Lopez,3800,660.51,N/A,inactivo,
1052,26 de January de 2024,"['API REST', 'Dashboard']",Bogotá D.C.,CARLOS LOPEZ,74,$478.31,1.4,Si,
1264,2023-09-08,Dashboard,Manizales (Caldas),Pedro Martin,78uds,64350.0,1,1,
1241,"June 18, 2024",Dashboard,Santiago de Cali,Ana Garcia,76,,9,Activo,
TRX-0008,2024-05-13,Reporte Automatico,Cali,Maria Ruiz,80,710.67,6,Activo,
1315,2024/02/29,Reporte Automatico,,PEDRO MARTIN,54,91.09,4.6,Inactivo,
1088,"January 24, 2024",API REST,B/quilla,Pedro Martin,-43,"541,41",4.8,Si,
1273,21 de October de 2023,Pipeline ETL,Bogota,Maria Ruiz,16,"538,45",Excelente,Activo,
1166,01/04/2024,"['Reporte Automatico', 'Dashboard']",Medellín,,39,734.84,1,0,
1095,2024/03/14,Dashboard,MEDELLIN,Carlos Lopez,24,668.91,5,Activo,
1134,2024-02-01,Pipeline ETL,Bogota,Carlos Lopez,24,331.78 COP,,Pendiente,
1306,2023/11/01,AppWeb,Medellín (Ant),"Martin, Pedro",6300,$500.92,3,SI,
1347,06-15-2023,N/A,Bogotá,Ana Garcia,51,105.21,,False,URGENTE - revisar
1319,09-13-2023,N/A,Manizales (Caldas),Ana Garcia,6,257.45,Bueno,Si,Ref: FC-8853
1243,2023-09-09,API REST,bogota,Pedro Martin,75,58419.00000000001,3,Inactivo,
1054,08/08/2023,Reporte Automatico,Medellín (Ant),,62,752.93,2.5,Activo,Ref: FC-5380
1050,01-27-2024,App Web,BOGOTA,Ana Garcia,17,500.36,3.6,Inactivo,
1174,fecha_invalida,APIREST,Santiago de Cali,"Garcia, Ana",35,663.42 COP,1.2,False,
1189,2023-12-20,app web,barranquilla,Maria Ruiz,20,522.39,,ACTIVO,
1112,12-05-2023,APIREST,Medellin,laura.torres@empresa.com,80,$704.30,5,False,
1187,21 de August de 2023,App Web,Bogotá D.C.,Pedro Martin,68,430.36,N/A,0,Descuento del 24% aplicado
1169,12 de March de 2024,Reporte Automatico,Medellin,Ana Garcia,16,59.06,2,Pendiente,
1058,2024/02/28,Pipeline ETL,manizales,Maria Ruiz,28uds,$764.36,5,Inactivo,Contactar al 3101199131
1048,2023-09-26,['API REST'],Bogota,ana.garcia,75,711.22,4,False,
1235,10-01-2023,API REST,Bogotá,MARIA RUIZ,7200,796.36,1,ACTIVO,Pago en tarjeta
1252,2024/06/28,Pipeline ETL,Bquilla,Laura Torres,22,141.95,1,ACTIVO,Descuento del 15% aplicado
1021,13/11/2023,AppWeb,CALI,Maria Ruiz,700,203.11 COP,4,activo,
1313,fecha_invalida,DASHBOARD,CALI,Ana Garcia,69,592.43,1,,Descuento del 28% aplicado
1160,04-12-2024,App Web,Bog,Pedro Martin,12,115.48,,Inactivo,
1276,2023/11/30,Pipeline ETL,,Laura Torres,72,,2,inactivo,Contactar al 3118260196
1191,2024/06/07,ReporteAutomatico,Bogota,Ana Garcia,77,189.95 COP,3,NO,Contactar al 3176922592
1293,,ReporteAutomatico,B/quilla,"Garcia, Ana",16,587.8,5,activo,
1343,"July 09, 2023",-,B/quilla,Maria Ruiz,76uds,,2.1,Inactivo,
1257,24/04/2024,App Web,MANIZALES,"Garcia, Ana",74,604.48 COP,1.5,SI,Descuento del 17% aplicado
1308,2024/05/16,['API REST'],CALI,Pedro Martin,23,423.16,3,SI,Descuento del 7% aplicado
1149,2023/08/09,Dashboard,Bogotá,Maria Ruiz,27,264.84,,activo,Ref: ND-2410
1130,2024/05/10,App Web,MANIZALES,Pedro Martin,66,$705.40,4.5,1,
1151,13/06/2024,App Web,Manizales (Caldas),Carlos Lopez,38,,5,Activo,Contactar al 3149812761
1099,2023-08-01,Pipeline ETL,B/quilla,LAURA TORRES,21,133.34,1.5,SI,
1087,"May 15, 2024",Reporte Automatico,Barranquilla,Laura Torres,14,563.56,7,Inactivo,Contactar al 3106379091
1330,"May 10, 2024",API REST,Manizales,Laura Torres,67,404.9,1.6,Pendiente,
1127,05/11/2023,API REST,B/quilla,Carlos Lopez,63,312.17,1,SI,
1121,01/07/2024,App Web,Santiago de Cali,Ana Garcia,19,182.04,,Inactivo,
1257,24/04/2024,App Web,MANIZALES,"Garcia, Ana",74,604.48 COP,1.5,SI,Descuento del 17% aplicado
1020,2023/11/02,,,Carlos Lopez,,537.77,7,inactivo,URGENTE - revisar
1188,2024/02/29,App Web,Santiago de Cali,Pedro Martin,38,576.52,2,ACTIVO,
1071,2023/09/02,Pipeline ETL,Manizales,Maria Ruiz,54,608.59,2.6,inactivo,
1106,2023-11-21,['App Web'],Medellin,MARIA RUIZ,80,790.5,3,No,
1270,03-31-2024,App Web,MANIZALES,,62,741.37,2.9,SI,
1348,11-27-2023,Reporte Automatico,Manizales (Caldas),Ana Garcia,23,191.57,1,activo,
1102,2024-01-13,App Web,Santiago de Cali,MARIA RUIZ,50,393.95,2,ACTIVO,
